Species,Number
Greater White-fronted Goose,1
Wood Duck,1
Gadwall,8
American Wigeon,452
Mallard,66
teal sp.,4
Canvasback,1
Redhead,1
Ring-necked Duck,82
Bufflehead,3
Hooded Merganser,6
Ruddy Duck,7
California Quail,266
Gambel's Quail,5
California x Gambel's Quail (hybrid),5
new world quail sp.,74
Wild Turkey,12
Pied-billed Grebe,2
Great Blue Heron (Blue form),1
Great Egret,1
Snowy Egret,1
Green Heron,1
Golden Eagle,1
Sharp-shinned Hawk,3
Cooper's Hawk,19
Red-shouldered Hawk,4
Red-tailed Hawk,30
Virginia Rail,2
Sora,4
American Coot,39
Killdeer,17
Spotted Sandpiper,1
Rock Pigeon (Feral Pigeon),12
Band-tailed Pigeon,24
Eurasian Collared-Dove,319
Common Ground-Dove,64
White-winged Dove,797
Mourning Dove,199
Greater Roadrunner,22
Barn Owl,1
Western Screech-Owl,1
Great Horned Owl,10
Long-eared Owl,3
Anna's Hummingbird,126
Costa's Hummingbird,110
Selasphorus sp.,1
hummingbird sp.,2
Belted Kingfisher,1
Acorn Woodpecker,20
Red-breasted Sapsucker,3
Ladder-backed Woodpecker,8
Nuttall's Woodpecker,1
Northern Flicker,86
Northern Flicker (Yellow-shafted),1
American Kestrel,22
Merlin,2
Prairie Falcon,3
Black Phoebe,64
Say's Phoebe,70
Vermilion Flycatcher,1
Loggerhead Shrike,23
Plumbeous Vireo,1
Steller's Jay,14
Western Scrub-Jay,97
Common Raven,374
Horned Lark,30
Mountain Chickadee,1
Oak Titmouse,7
Verdin,212
Bushtit,4
White-breasted Nuthatch,3
Rock Wren,15
Canyon Wren,3
House Wren,14
Marsh Wren,5
Bewick's Wren,27
Cactus Wren,31
Blue-gray Gnatcatcher,15
Black-tailed Gnatcatcher,50
Ruby-crowned Kinglet,79
Wrentit,2
Western Bluebird,345
Mountain Bluebird,31
Townsend's Solitaire,1
Hermit Thrush,2
American Robin,188
California Thrasher,11
Le Conte's Thrasher,3
Crissal Thrasher,1
Northern Mockingbird,124
European Starling,238
American Pipit,24
Cedar Waxwing,120
Phainopepla,151
Orange-crowned Warbler,5
Common Yellowthroat,7
Yellow-rumped Warbler,736
Yellow-rumped Warbler (Myrtle),5
Chipping Sparrow,3
Brewer's Sparrow,1
Black-throated Sparrow,35
Lark Sparrow,5
Fox Sparrow,4
Dark-eyed Junco,52
Dark-eyed Junco (Slate-colored),1
White-crowned Sparrow,"1,227"
Golden-crowned Sparrow,1
Sagebrush Sparrow,4
Bell's Sparrow (canescens),11
Sagebrush/Bell's Sparrow (Sage Sparrow),53
Vesper Sparrow,17
Savannah Sparrow,41
Song Sparrow,5
Lincoln's Sparrow,7
California Towhee,28
Rufous-crowned Sparrow,3
Spotted Towhee,5
Summer Tanager,1
Lazuli/Indigo Bunting,1
Red-winged Blackbird,31
Western Meadowlark,9
Brewer's Blackbird,71
Great-tailed Grackle,22
Brown-headed Cowbird,30
Bullock's Oriole,1
Scott's Oriole,3
House Finch,879
Lesser Goldfinch,192
House Sparrow,54
