Species,Number
Snow Goose,1
Gadwall,7
American Wigeon,5
Mallard,18
Northern Shoveler,23
Northern Pintail,1
Green-winged Teal,9
Ring-necked Duck,31
Bufflehead,3
Common Goldeneye,5
Ruddy Duck,19
Pied-billed Grebe,1
Cooper's Hawk,3
Red-tailed Hawk,2
Buteo sp.,1
Common Gallinule,1
American Coot,29
Killdeer,3
Spotted Sandpiper,1
Wilson's Snipe,2
Eurasian Collared-Dove,28
Mourning Dove,6
Northern Flicker,1
Prairie Falcon,1
Black Phoebe,3
Say's Phoebe,15
Common Raven,21
Verdin,3
Marsh Wren,1
Bewick's Wren,3
Ruby-crowned Kinglet,7
Mountain Bluebird,12
American Robin,5
European Starling,49
American Pipit,20
Orange-crowned Warbler,2
Yellow-rumped Warbler,4
Yellow-rumped Warbler (Audubon's),1
Fox Sparrow,1
Dark-eyed Junco (Slate-colored),1
Dark-eyed Junco (Oregon),2
White-crowned Sparrow,43
Harris's Sparrow,1
Savannah Sparrow,6
Song Sparrow,5
Lincoln's Sparrow,2
sparrow sp.,6
Red-winged Blackbird,21
Western Meadowlark,3
Brewer's Blackbird,25
Great-tailed Grackle,16
Brown-headed Cowbird,1
Lesser Goldfinch,2
House Sparrow,6
