Species,Number
Mallard,4
Green-winged Teal,1
Gambel's Quail,145
Turkey Vulture,14
Golden Eagle,3
Cooper's Hawk,4
Accipiter sp.,1
Red-tailed Hawk,16
Killdeer,7
Rock Pigeon (Feral Pigeon),491
Eurasian Collared-Dove,56
Mourning Dove,83
Greater Roadrunner,4
Great Horned Owl,1
Anna's Hummingbird,18
Costa's Hummingbird,6
hummingbird sp.,2
Acorn Woodpecker,4
Red-naped Sapsucker,1
Ladder-backed Woodpecker,10
Northern Flicker (Red-shafted),26
American Kestrel,7
Black Phoebe,6
Say's Phoebe,8
Vermilion Flycatcher,1
Loggerhead Shrike,13
Western Scrub-Jay,46
Common Raven,149
Horned Lark,20
Oak Titmouse,3
Verdin,23
Bushtit,30
White-breasted Nuthatch,1
Rock Wren,13
Canyon Wren,3
Bewick's Wren,8
Cactus Wren,36
Black-tailed Gnatcatcher,27
Ruby-crowned Kinglet,14
Mountain Bluebird,3
Hermit Thrush,1
American Robin,7
California Thrasher,4
Le Conte's Thrasher,1
Northern Mockingbird,23
European Starling,73
American Pipit,25
Phainopepla,92
Yellow-rumped Warbler (Audubon's),6
Brewer's Sparrow,2
Black-throated Sparrow,31
Dark-eyed Junco (Slate-colored),3
Dark-eyed Junco (Oregon),49
Dark-eyed Junco (Pink-sided),5
White-crowned Sparrow,208
Sagebrush Sparrow,11
Savannah Sparrow,2
Lincoln's Sparrow,1
California Towhee,4
Spotted Towhee,15
Great-tailed Grackle,1
Brown-headed Cowbird,2
House Finch,56
Lesser Goldfinch,20
House Sparrow,17
