Species,Number
Greater White-fronted Goose,10
Snow Goose,5
Canada Goose,416
Gadwall,34
American Wigeon,"1,430"
Mallard,324
Northern Shoveler,194
Green-winged Teal (American),4
Redhead,1
Ring-necked Duck,99
Lesser Scaup,1
Bufflehead,67
Hooded Merganser,7
Ruddy Duck,82
California Quail,99
Pied-billed Grebe,25
Horned Grebe,2
Eared Grebe,1
Western Grebe,1
Double-crested Cormorant,43
American White Pelican,54
Great Blue Heron (Blue form),8
Great Egret,6
Snowy Egret,2
Green Heron,2
Black-crowned Night-Heron,8
Osprey,1
Sharp-shinned Hawk,1
Cooper's Hawk,4
Red-shouldered Hawk,5
Red-tailed Hawk,21
Virginia Rail,2
Sora,1
American Coot,865
Killdeer,24
Wilson's Snipe,4
Ring-billed Gull,18
California Gull,290
Rock Pigeon (Feral Pigeon),605
Eurasian Collared-Dove,60
Mourning Dove,151
Greater Roadrunner,3
Great Horned Owl,4
Burrowing Owl,1
Anna's Hummingbird,27
Costa's Hummingbird,4
Belted Kingfisher,5
Ladder-backed Woodpecker,5
Nuttall's Woodpecker,25
Downy Woodpecker,1
Hairy Woodpecker,1
Northern Flicker (Red-shafted),45
American Kestrel,8
Peregrine Falcon,1
Black Phoebe,61
Say's Phoebe,33
Vermilion Flycatcher,3
Loggerhead Shrike,3
Western Scrub-Jay,4
American Crow,43
Common Raven,412
Horned Lark,433
Mountain Chickadee,27
Verdin,10
Bushtit,36
Red-breasted Nuthatch,2
White-breasted Nuthatch,32
Rock Wren,3
Marsh Wren,18
Bewick's Wren,5
Cactus Wren,8
Blue-gray Gnatcatcher,2
Ruby-crowned Kinglet,32
Western Bluebird,66
Mountain Bluebird,229
Hermit Thrush,4
American Robin,112
California Thrasher,6
Northern Mockingbird,35
European Starling,429
American Pipit,13
Cedar Waxwing,84
Phainopepla,25
Orange-crowned Warbler,8
Common Yellowthroat,4
Yellow-rumped Warbler (Myrtle),2
Yellow-rumped Warbler (Audubon's),145
Townsend's Warbler,1
Chipping Sparrow,13
Black-throated Sparrow,2
Lark Sparrow,58
Dark-eyed Junco (Slate-colored),2
Dark-eyed Junco (Oregon),70
White-crowned Sparrow,444
Bell's Sparrow,6
Savannah Sparrow,29
Song Sparrow,80
Lincoln's Sparrow,9
California Towhee,4
Red-winged Blackbird,164
Western Meadowlark,76
Brewer's Blackbird,182
Great-tailed Grackle,45
House Finch,371
Lesser Goldfinch,42
American Goldfinch,5
House Sparrow,371
