Species,Number
Greater White-fronted Goose,1
Cackling Goose,52
Canada Goose,"1,780"
Muscovy Duck (Domestic type),6
Wood Duck,38
Gadwall,107
Eurasian Wigeon,4
American Wigeon,768
Mallard,"1,271"
Blue-winged Teal,7
Cinnamon Teal,34
Northern Shoveler,484
Northern Pintail,107
Green-winged Teal (American),421
Canvasback,105
Ring-necked Duck,81
Greater Scaup,"4,099"
Lesser Scaup,"1,036"
Greater/Lesser Scaup,"2,277"
Surf Scoter,"1,757"
Long-tailed Duck,2
Bufflehead,"2,961"
Common Goldeneye,526
Barrow's Goldeneye,4
Hooded Merganser,19
Common Merganser,86
Red-breasted Merganser,26
Ruddy Duck,"1,182"
duck sp.,19
California Quail,63
Wild Turkey,243
Red-throated Loon,16
Pacific Loon,1
Common Loon,39
loon sp.,1
Pied-billed Grebe,258
Horned Grebe,263
Eared Grebe,56
Western Grebe,286
Clark's Grebe,137
Western/Clark's Grebe,207
Brandt's Cormorant,76
Double-crested Cormorant,"6,008"
Pelagic Cormorant,42
cormorant sp.,"4,487"
American White Pelican,55
Brown Pelican,868
Great Blue Heron (Blue form),91
Great Egret,58
Snowy Egret,176
Green Heron,3
Black-crowned Night-Heron,88
Turkey Vulture,175
Osprey,5
White-tailed Kite,31
Golden Eagle,3
Northern Harrier,14
Sharp-shinned Hawk,19
Cooper's Hawk,25
Accipiter sp.,4
Bald Eagle,5
Red-shouldered Hawk,47
Red-tailed Hawk,181
Ferruginous Hawk,1
Ridgway's Rail (San Francisco Bay),37
Virginia Rail,3
Sora,6
American Coot,"4,362"
Black-necked Stilt,158
American Avocet,530
Black Oystercatcher,29
Black-bellied Plover,"1,319"
Snowy Plover,18
Semipalmated Plover,439
Killdeer,77
Spotted Sandpiper,40
Greater Yellowlegs,90
Willet,980
Whimbrel (American),34
Long-billed Curlew,96
Marbled Godwit,749
Black Turnstone,43
Surfbird,35
Sanderling,337
Dunlin,"3,797"
Least Sandpiper,401
Western Sandpiper,"5,204"
peep sp.,"1,110"
Short-billed/Long-billed Dowitcher,132
Wilson's Snipe,34
Heermann's Gull,3
Mew Gull (American),172
Ring-billed Gull,778
Western Gull,"2,199"
California Gull,"1,159"
Herring Gull,111
Thayer's Gull,3
Glaucous-winged Gull,76
Western x Glaucous-winged Gull (hybrid),43
gull sp.,"2,545"
Forster's Tern,178
Rock Pigeon (Feral Pigeon),"1,978"
Band-tailed Pigeon,446
Eurasian Collared-Dove,27
Mourning Dove,288
Barn Owl (American),4
Western Screech-Owl,6
Great Horned Owl,61
Burrowing Owl,12
Northern Saw-whet Owl,6
White-throated Swift,10
Anna's Hummingbird,682
Belted Kingfisher,20
Acorn Woodpecker,140
Red-breasted Sapsucker,13
Nuttall's Woodpecker,85
Downy Woodpecker,28
Hairy Woodpecker,41
Northern Flicker,137
Northern Flicker (Red-shafted),82
American Kestrel,37
Merlin,6
Peregrine Falcon,8
Black Phoebe,286
Say's Phoebe,41
Hutton's Vireo,86
Steller's Jay,316
Western Scrub-Jay,331
American Crow,"2,486"
Common Raven,453
Horned Lark,68
Chestnut-backed Chickadee,715
Oak Titmouse,229
Bushtit,"1,153"
Red-breasted Nuthatch,119
White-breasted Nuthatch (Pacific),33
Pygmy Nuthatch,165
Brown Creeper,78
House Wren,1
Pacific Wren,10
Marsh Wren,23
Bewick's Wren,168
Blue-gray Gnatcatcher,1
Golden-crowned Kinglet,46
Ruby-crowned Kinglet,752
Wrentit,94
Western Bluebird,149
Hermit Thrush,190
American Robin,"1,805"
Varied Thrush,49
California Thrasher,22
Northern Mockingbird,29
European Starling,887
American Pipit,54
Cedar Waxwing,870
Orange-crowned Warbler,1
Common Yellowthroat,5
Yellow-rumped Warbler,887
Yellow-rumped Warbler (Myrtle),43
Yellow-rumped Warbler (Audubon's),308
Black-throated Gray Warbler,2
Townsend's Warbler,144
Hermit Warbler,1
warbler sp. (Parulidae sp.),1
Fox Sparrow (Sooty),113
Dark-eyed Junco,421
Dark-eyed Junco (Slate-colored),1
Dark-eyed Junco (Oregon),"1,058"
White-crowned Sparrow,"1,537"
Golden-crowned Sparrow,845
White-throated Sparrow,22
Savannah Sparrow,13
Song Sparrow,168
Lincoln's Sparrow,2
California Towhee,526
Rufous-crowned Sparrow,8
Spotted Towhee,239
sparrow sp.,81
Western Tanager,1
Red-winged Blackbird,789
Western Meadowlark,203
Brewer's Blackbird,144
Brown-headed Cowbird,3
blackbird sp.,60
House Finch,670
Purple Finch (Western),12
Lesser Goldfinch,399
American Goldfinch,39
House Sparrow,78
