Species,Number
Mallard,4
Bufflehead,1
California Quail,479
Wild Turkey,73
Pied-billed Grebe,1
Great Blue Heron (Blue form),2
Great Egret,2
Turkey Vulture,9
California Condor,20
Golden Eagle,16
Northern Harrier,6
Sharp-shinned Hawk,10
Cooper's Hawk,10
Bald Eagle,2
Red-shouldered Hawk,6
Red-tailed Hawk,55
Killdeer,24
Rock Pigeon (Feral Pigeon),88
Band-tailed Pigeon,70
Eurasian Collared-Dove,57
Mourning Dove,23
Greater Roadrunner,1
Barn Owl,1
Great Horned Owl,8
Northern Saw-whet Owl,1
White-throated Swift,52
Anna's Hummingbird,21
Acorn Woodpecker,342
Red-breasted Sapsucker,18
Nuttall's Woodpecker,27
Downy Woodpecker,3
Hairy Woodpecker,20
Northern Flicker,65
American Kestrel,19
Merlin,1
Peregrine Falcon,3
Prairie Falcon,6
Black Phoebe,48
Say's Phoebe,32
Loggerhead Shrike,18
Hutton's Vireo,8
Steller's Jay,31
Western Scrub-Jay,566
Yellow-billed Magpie,49
American Crow,66
Common Raven,155
Horned Lark,86
Oak Titmouse,241
Bushtit,131
White-breasted Nuthatch,79
Canyon Wren,9
Bewick's Wren,45
Blue-gray Gnatcatcher,1
Ruby-crowned Kinglet,103
Wrentit,109
Western Bluebird,77
Hermit Thrush,29
American Robin,80
Varied Thrush,2
California Thrasher,99
Northern Mockingbird,16
European Starling,919
Cedar Waxwing,232
Phainopepla,11
Orange-crowned Warbler,1
Yellow-rumped Warbler,53
Yellow-rumped Warbler (Myrtle),1
Yellow-rumped Warbler (Audubon's),26
Townsend's Warbler,2
Lark Sparrow,10
Fox Sparrow,29
Dark-eyed Junco (Oregon),632
White-crowned Sparrow,995
Golden-crowned Sparrow,379
White-throated Sparrow,2
Zonotrichia sp.,74
Bell's Sparrow,11
Savannah Sparrow,15
Song Sparrow,17
Lincoln's Sparrow,3
California Towhee,143
Rufous-crowned Sparrow,3
Spotted Towhee,157
Red-winged Blackbird,255
Tricolored Blackbird,3
Western Meadowlark,388
Brewer's Blackbird,704
Brown-headed Cowbird,15
blackbird sp.,415
House Finch,250
Purple Finch,3
Lesser Goldfinch,37
Lawrence's Goldfinch,6
American Goldfinch,1
Spinus sp. (goldfinch sp.),10
House Sparrow,19
