Species,Number
Snow Goose,52
Mallard,17
California Quail,1
Ring-necked Pheasant,2
Northern Harrier,1
Red-tailed Hawk,7
Eurasian Collared-Dove,4
Mourning Dove,17
Greater Roadrunner,1
Anna's Hummingbird,1
Red-breasted Sapsucker,1
Northern Flicker (Red-shafted),4
American Kestrel,2
Prairie Falcon,2
Black Phoebe,3
Say's Phoebe,4
Loggerhead Shrike,5
Common Raven,31
Horned Lark,21
Rock Wren,3
Cactus Wren,5
Blue-gray Gnatcatcher,2
Ruby-crowned Kinglet,3
Hermit Thrush,1
European Starling,20
American Pipit,6
Yellow-rumped Warbler (Audubon's),8
Black-throated Sparrow,19
Dark-eyed Junco (Slate-colored),1
Dark-eyed Junco (Oregon),14
White-crowned Sparrow,160
Sagebrush/Bell's Sparrow (Sage Sparrow),65
Savannah Sparrow,7
Spotted Towhee,1
Red-winged Blackbird,200
Western Meadowlark,30
Brewer's Blackbird,2
House Finch,52
House Sparrow,14
