Species,Number
Greater White-fronted Goose,1
Canada Goose,244
Wood Duck,1
Gadwall,72
American Wigeon,114
Mallard,342
Northern Shoveler,55
Northern Pintail,5
Green-winged Teal,78
Ring-necked Duck,9
Bufflehead,25
Hooded Merganser,3
Common Merganser,4
Ruddy Duck,108
California Quail,23
Pied-billed Grebe,9
Double-crested Cormorant,67
American White Pelican,6
Great Blue Heron (Blue form),3
Great Egret,43
Snowy Egret,16
Black-crowned Night-Heron,2
Turkey Vulture,1
Osprey,1
Northern Harrier,1
Sharp-shinned Hawk,4
Cooper's Hawk,12
Red-shouldered Hawk,10
Red-tailed Hawk,51
Ferruginous Hawk,2
Sora,1
American Coot,"1,113"
Black-necked Stilt,2
Killdeer,2
Greater Yellowlegs,7
Least Sandpiper,15
Long-billed Dowitcher,9
Wilson's Snipe,2
Bonaparte's Gull,80
Black-headed Gull,1
Mew Gull,1
Ring-billed Gull,51
California Gull,45
Rock Pigeon (Feral Pigeon),560
Band-tailed Pigeon,55
Eurasian Collared-Dove,95
Mourning Dove,121
Greater Roadrunner,2
Great Horned Owl,5
White-throated Swift,380
Anna's Hummingbird,162
Costa's Hummingbird,10
Allen's Hummingbird,27
Belted Kingfisher,4
Acorn Woodpecker,63
Yellow-bellied Sapsucker,1
Ladder-backed Woodpecker,1
Nuttall's Woodpecker,42
Downy Woodpecker,2
Northern Flicker (Red-shafted),82
American Kestrel,16
Merlin,2
Peregrine Falcon,1
Red-crowned Parrot,11
Lilac-crowned Parrot,80
Red-lored Parrot,1
Black Phoebe,101
Say's Phoebe,32
Vermilion Flycatcher,2
Cassin's Kingbird,51
Hutton's Vireo,2
Western Scrub-Jay,58
American Crow,161
Common Raven,149
Tree Swallow,3
Mountain Chickadee,6
Oak Titmouse,1
Verdin,1
Bushtit,270
White-breasted Nuthatch,8
Brown Creeper,1
Rock Wren,4
Canyon Wren,1
House Wren,7
Bewick's Wren,50
Cactus Wren,1
Blue-gray Gnatcatcher,9
Ruby-crowned Kinglet,93
Wrentit,17
Western Bluebird,159
Mountain Bluebird,8
Hermit Thrush,43
American Robin,210
California Thrasher,17
Northern Mockingbird,57
European Starling,312
American Pipit,44
Cedar Waxwing,290
Phainopepla,3
Orange-crowned Warbler,17
Common Yellowthroat,9
Yellow-rumped Warbler,693
Yellow-rumped Warbler (Myrtle),4
Black-throated Gray Warbler,1
Townsend's Warbler,7
Chipping Sparrow,93
Lark Sparrow,20
Fox Sparrow,3
Dark-eyed Junco,49
Dark-eyed Junco (Slate-colored),1
White-crowned Sparrow,453
Golden-crowned Sparrow,5
Bell's Sparrow (belli),10
Vesper Sparrow,2
Savannah Sparrow,194
Song Sparrow,88
Lincoln's Sparrow,24
Swamp Sparrow,1
California Towhee,103
Rufous-crowned Sparrow,10
Spotted Towhee,18
Red-winged Blackbird,37
Western Meadowlark,40
Brewer's Blackbird,136
Great-tailed Grackle,10
Brown-headed Cowbird,2
House Finch,754
Purple Finch,1
Lesser Goldfinch,233
American Goldfinch,2
House Sparrow,101
Scaly-breasted Munia,2
