Species,Number
Canada Goose,483
Wood Duck,7
Gadwall,9
American Wigeon,26
Mallard,188
Green-winged Teal (American),7
Ring-necked Duck,47
Bufflehead,41
Common Goldeneye,7
Hooded Merganser,26
Common Merganser,12
Mountain Quail,1
California Quail,204
Wild Turkey,227
Pied-billed Grebe,14
Double-crested Cormorant,10
Great Blue Heron (Blue form),8
Great Egret,7
Turkey Vulture,85
Osprey,1
Golden Eagle,2
Sharp-shinned Hawk,2
Cooper's Hawk,2
Bald Eagle,1
Red-shouldered Hawk,18
Red-tailed Hawk,57
Common Gallinule,7
American Coot,102
Killdeer,15
Greater Yellowlegs,1
Wilson's Snipe,1
Rock Pigeon (Feral Pigeon),67
Band-tailed Pigeon,300
Eurasian Collared-Dove,69
Mourning Dove,128
Western Screech-Owl,3
Great Horned Owl,2
Anna's Hummingbird,19
Belted Kingfisher,8
Acorn Woodpecker,433
Red-breasted Sapsucker,7
Nuttall's Woodpecker,20
Downy Woodpecker,15
Hairy Woodpecker,1
Northern Flicker (Red-shafted),57
American Kestrel,16
diurnal raptor sp.,1
Black Phoebe,72
Say's Phoebe,3
Steller's Jay,15
Western Scrub-Jay,218
American Crow,26
Common Raven,131
Oak Titmouse,157
Bushtit,331
White-breasted Nuthatch,88
Brown Creeper,2
Rock Wren,1
House Wren,3
Bewick's Wren,7
Ruby-crowned Kinglet,89
Wrentit,2
Western Bluebird,270
Townsend's Solitaire,1
Hermit Thrush,45
American Robin,"1,173"
Varied Thrush,1
Northern Mockingbird,5
European Starling,379
American Pipit,22
Cedar Waxwing,61
Phainopepla,35
Yellow-rumped Warbler (Audubon's),55
Lark Sparrow,118
Fox Sparrow,1
Dark-eyed Junco (Slate-colored),3
Dark-eyed Junco (Oregon),561
White-crowned Sparrow,435
Golden-crowned Sparrow,265
Song Sparrow,3
California Towhee,94
Rufous-crowned Sparrow,2
Spotted Towhee,194
Red-winged Blackbird,20
Western Meadowlark,27
Brewer's Blackbird,"1,456"
House Finch,30
Purple Finch,18
Pine Siskin,3
Lesser Goldfinch,149
Lawrence's Goldfinch,14
American Goldfinch,7
House Sparrow,191
