Species,Number
Gadwall,6
Mallard,77
Northern Shoveler,168
Green-winged Teal (American),12
Ring-necked Duck,15
Lesser Scaup,13
Bufflehead,74
Hooded Merganser,8
Ruddy Duck,233
California Quail,97
Pied-billed Grebe,15
Western Grebe,1
Great Blue Heron (Blue form),1
Great Egret,1
Black-crowned Night-Heron,1
Golden Eagle,1
Northern Harrier,2
Sharp-shinned Hawk,1
Cooper's Hawk,5
Red-tailed Hawk,24
Ferruginous Hawk,4
American Coot,78
Killdeer,6
Greater Yellowlegs,1
Least Sandpiper,9
California Gull,3
Rock Pigeon (Feral Pigeon),94
Band-tailed Pigeon,3
Eurasian Collared-Dove,48
Mourning Dove,37
Barn Owl,1
Great Horned Owl,4
Anna's Hummingbird,4
Acorn Woodpecker,21
Red-breasted Sapsucker,1
Nuttall's Woodpecker,3
White-headed Woodpecker,1
Northern Flicker (Red-shafted),10
American Kestrel,16
Merlin,1
Prairie Falcon,1
Black Phoebe,5
Say's Phoebe,4
Loggerhead Shrike,5
Steller's Jay,4
Western Scrub-Jay,23
American Crow,12
Common Raven,431
Horned Lark,2
Mountain Chickadee,5
Oak Titmouse,10
Bushtit,2
Red-breasted Nuthatch,1
White-breasted Nuthatch,25
Rock Wren,1
Ruby-crowned Kinglet,9
Western Bluebird,71
American Robin,5
Northern Mockingbird,4
European Starling,"1,188"
Phainopepla,3
Yellow-rumped Warbler (Audubon's),13
Lark Sparrow,15
Fox Sparrow,1
Dark-eyed Junco (Oregon),195
White-crowned Sparrow,436
Harris's Sparrow,1
Savannah Sparrow,5
Song Sparrow,5
California Towhee,8
Spotted Towhee,9
Red-winged Blackbird,1
Western Meadowlark,10
Brewer's Blackbird,345
House Finch,225
Pine Siskin,3
Lesser Goldfinch,10
House Sparrow,103
